L1,Al,As,Cd,Cr,Cu,Fe,Hg,Ni,Pb,V,Zn,TBT,PCB28,PCB52,PCB77,PCB81,PCB101,PCB118,PCB126,PCB128,PCB138,PCB153,PCB156,PCB169,PCB180,Somma DDD,Somma DDE,Somma DDT,Clordano,Aldrin,Dieldrin,Endrin,aHCH,bHCH,gHCH Lindano,Eptacloro epossido,HCB,Idrocarburi C 12,Naftalene,Antracene,Fenantrene,Acenaftilene,Acenaftene,Fluorene,Fluorantene,Pirene,Benzo antracene,Crisene,Benzo fluorantene,Benzo pirene,Benzo fluorantene,Indeno pirene,Benzo perilene,Dibenzo antracene,Somma_IPA_16
ALTO,1648.28571428571,8.47527472527472,0.101373626373626,7.81098901098901,20.0824175824176,21271.978021978,0.003241758241758,30.3516483516484,14.7010989010989,25.039010989011,62.1428571428571,5.22067505354217,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,0.9146,0.6234,1.8892,0.0323,-1,-1,-1,-1,-1,-1,-1,0.12,19000,0.261,2.893,13.848,1.153,1.015,4.619,33.065,36.257,7.816,11.043,14.225,11.737,11.114,10.272,9.75,2.082,171.15
MEDIO,24420.3105590062,3.61211180124224,0.075155279503106,18.8260869565217,15.8385093167702,23524.8447204969,0.044534161490683,36.2422360248447,7.65155279503106,73.5568322981367,47.9503105590062,1.7089363249407,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,1.5434,0,0,0,0,0,0,0,0,0,11000,4.293,0.1,3.953,1.14,3.66,18.891,1.228,0.507,0.1,0.584,0.847,0.1,0.48,0.215,0.215,0.1,36.413
MOLTO ALTO,8583.57827476038,11.979552715655,0.054952076677316,11.3865814696486,11.4376996805112,16095.8466453674,0.056613418530351,24.3130990415335,6.41501597444089,37.8849840255591,35.0159744408946,1.63888097489947,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1263,0.1101,0.46,0,0,0,0,0,0,0,0,0,7000,3.543,24.845,125.919,78.68,12.3,128.387,300.192,288.305,81.452,83.841,96.691,90.916,101.827,61.229,53.483,13.577,1545.187
ASSENTE,3484.77142857143,10.17,0.042285714285714,6.02285714285714,3.8,8917.14285714286,0.04,14.8,3.24457142857143,27.492,11.7714285714286,1.52023931603231,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0762,0,0,0,0,0,0,0,0,0,7900,6.335,0.1,6.7,2.382,1.1,4.5,2.009,1.704,0.805,1.177,2.505,1.013,2.059,0.941,1.052,0.1,34.482
ASSENTE,1569.58904109589,10.5742465753425,0.04,4.22739726027397,2.3013698630137,6243.83561643836,0.036328767123288,10,1.93945205479452,18.1,5.89041095890411,2.12976647711331,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0561,0,0,0,0,0,0,0,0,0,9400,1.693,0.1,2.305,0.1,2.526,7.212,0.848,0.411,0.1,0.316,0.209,0.1,0.1,0.1,0.1,0.1,16.32
ASSENTE,3192.08955223881,7.34253731343284,0.04228855721393,5.50497512437811,3.40796019900498,7288.55721393035,0.032139303482587,13.0099502487562,2.47462686567164,23.2388059701493,8.55721393034826,0.525568906225001,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0633,0,0,0,0,0,0,0,0,0,5800,3.907,0.1,2.66,0.384,4.752,13.3,0.749,0.33,0.1,0.326,0.663,0.1,0.337,0.1,0.1,0.1,28.008
ASSENTE,2540.02717391304,8.65679347826087,0.039673913043478,4.57336956521739,2.55434782608696,5978.26086956522,0.034510869565217,11.7119565217391,2.13994565217391,0.482608695652174,6.52173913043478,2.41702551443604,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0549,0,0,0,0,0,0,0,0,0,6600,0.899,0.1,3.379,0.403,0.389,0.959,0.953,0.424,0.1,0.271,0.216,0.1,0.1,0.1,0.1,0.1,8.593
MOLTO ALTO,1538.42222222222,7.92305555555556,0.112777777777778,6.17777777777778,22.7222222222222,20447.2222222222,0.011611111111111,23.0444444444444,14.6533333333333,41.9397222222222,66.6666666666667,14.0864198420724,0.236,0.13,-1,-1,0.356,0.311,-1,,0.61,0.755,0.105,-1,0.381,0.8894,0.8846,4.8798,0.0295,-1,-1,-1,-1,-1,-1,-1,0.09,-1,0.27,7.578,17.102,1.859,1.208,3.494,66.438,75.01,23.373,30.848,38.839,40.501,35.916,27.876,20.544,5.725,396.581
ALTO,1450.10101010101,5.41346801346801,0.105050505050505,5.4976430976431,18.8215488215488,20026.936026936,-1,26.989898989899,10.7259259259259,27.0555555555556,51.9191919191919,9.66864556774266,0.229,0.14,-1,-1,0.344,0.304,-1,,0.576,0.627,-1,-1,0.308,0.8661,0.6144,1.9581,0.0257,-1,-1,-1,-1,-1,-1,-1,0.12,18000,0.727,7.728,16.766,3.18,1.937,4.259,88.399,94.006,25.763,28.657,32.189,35.821,29.891,28.379,21.975,5.341,425.018
BASSO,14118.4789644013,6.43236245954693,0.055987055016181,14.6051779935275,14.0129449838188,16841.4239482201,0.067313915857605,27.7022653721683,7.00873786407767,64.5796116504854,41.8446601941748,6.86176809046315,0.05,0.124,0.05,0.05,0.204,0.182,0.05,0.05,0.255,0.399,0.05,0.05,0.167,0.3883,0.3073,0.9633,0,0,0,0,0,0,0,0,0,16600,4.005,1.228,9.241,1.42,1.096,6.211,16.377,18.179,6.034,7.976,9.952,7.135,9.312,6.322,7.4,1.46,113.348
MEDIO,1835.5,13.0061764705882,0.044705882352941,5.62352941176471,3.55882352941176,8058.82352941176,0.038705882352941,14.6176470588235,2.88764705882353,23.9641176470588,8.05882352941176,5.78,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0658,0,0,0,0,0,0,0,0,0,7100,0.1,0.1,3.144,0.1,0.616,1.634,1.259,0.773,0.328,0.71,1.97,0.421,1.68,0.5,0.51,0.1,13.945
ASSENTE,1092.38461538462,11.3566666666667,0.038974358974359,3.45128205128205,1.56410256410256,5815.38461538462,0.032512820512821,9.12820512820513,2.08179487179487,15.5212820512821,5.94871794871795,1.94560022363888,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.0385,0.1019,0,0,0,0,0,0,0,0,0,0,0.592,0.89,17.686,0.812,0.392,1.595,55.157,132.892,4.439,7.069,10.051,13.337,12.579,10.492,34.367,1.491,303.841
ASSENTE,1932.74626865672,7.7644776119403,0.043283582089552,5.05373134328358,2.05970149253731,5883.58208955224,0.035283582089552,10.1194029850746,2.0689552238806,15.985671641791,5.64179104477612,1.44856092555887,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.1072,0,0,0,0,0,0,0,0,0,0,1.278,0.295,2.549,0.1,0.363,0.574,3.097,3.418,3.31,5.028,9.86,6.633,10.087,6.362,8.096,0.92,61.97
MEDIO,1237.34169278997,7.59028213166144,0.087460815047022,2.98683385579937,7.61755485893417,12175.5485893417,-1,12.58934169279,11.4407523510972,24.4510971786834,35.3605015673981,17.1305932961663,0.148,0.124,-1,-1,0.085,0.129,-1,,0.15,0.224,-1,-1,0.101,0.3183,0.1884,0.4598,-1,-1,-1,-1,-1,-1,-1,-1,0.02,-1,0.875,2.942,10.224,0.356,1.115,2.209,20.936,29.9,5.567,7.816,8.903,8.162,7.275,6.477,6.012,1.277,120.046
MEDIO,1518.21383647799,6.83710691823899,0.124213836477987,5.42893081761006,22.5471698113208,12311.320754717,0.015471698113208,28.6792452830189,11.7308176100629,29.2896226415094,61.0062893081761,6.87500599871388,-1,0.147,-1,-1,0.29,0.264,-1,,0.532,0.529,-1,-1,0.304,0.8879,0.5683,1.9604,0.024,-1,-1,-1,-1,-1,-1,-1,0.11,-1,1.015,4.422,11.609,0.927,1.104,2.887,39.138,40.557,10.31,13.728,17.593,16.073,14.404,13.722,11.705,2.826,202.02
MEDIO,24488.3333333333,3.78805555555556,0.065,17.0166666666667,11.3055555555556,20961.1111111111,0.041333333333333,28.2222222222222,5.65583333333333,53.8111111111111,36.1111111111111,2.28885604534789,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.3992,4.5997,0,0,0,0,0,0,0,0,0,7000,0.512,0.532,5.141,0.364,0.327,1.11,7.606,8.604,3.622,5.033,5.29,6.309,7.876,4.115,5.623,0.542,62.606
MEDIO,11182.8912466844,7.86737400530504,0.071087533156499,12.7771883289125,12.0689655172414,15923.0769230769,0.079575596816976,22.8912466843501,6.48302387267905,64.5005305039788,36.763925729443,0.67406279211731,0.05,0.264,0.05,0.05,0.646,0.39,0.05,0.05,0.721,0.735,0.05,0.05,0.375,1.395,1.0681,1.2832,0,0,0,0,0,0,0,0,0,13000,0.518,2.482,2.16,0.427,0.875,0.3,4.3,68.477,1.2,1.6,2.7,2.2,2.45,2.9,4,0.6,97.189
ASSENTE,2925.78666666667,11.1093333333333,0.0424,5.00533333333333,2.93333333333333,7368,0.033653333333333,10.8,2.524,21.3346666666667,8.29333333333333,1.64086958129381,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.0187,0.1172,0,0,0,0,0,0,0,0,0,0,0.477,0.1,3.246,0.1,0.317,1.214,2.594,2.896,1.208,2.098,2.458,2.119,3.184,1.694,2.543,0.211,26.459
ASSENTE,1674.20895522388,9.9089552238806,0.043880597014925,4.35223880597015,2.41791044776119,5874.62686567164,0.03689552238806,10.3582089552239,2.14507462686567,18.5268656716418,5.13432835820895,1.69551072440809,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0825,0,0,0,0,0,0,0,0,0,0,0.391,0.1,1.7,0.1,0.1,0.307,1.144,0.963,0.481,0.862,0.907,0.557,1.06,0.458,0.781,0.1,10.011
ASSENTE,1520.12012012012,8.96156156156156,0.04024024024024,4.18018018018018,2.79279279279279,5567.56756756757,0.036396396396396,6.12612612612613,2.05195195195195,17.6162162162162,4.86486486486486,2.14795343681302,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.0265,0.1463,0,0,0,0,0,0,0,0,0,0,0.391,0.1,1.7,0.1,0.1,0.307,1.144,0.963,0.481,0.862,0.907,0.557,1.06,0.458,0.781,0.1,10.011
ASSENTE,8578.36734693878,6.11603498542274,0.049562682215743,10.6268221574344,13.3819241982507,12067.055393586,0.041516034985423,15.3935860058309,3.77959183673469,44.2154518950437,12.8862973760933,0.905508593161902,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.8859,0,0,0,0,0,0,0,0,0,0,0.337,0.1,1.607,0.1,0.352,0.388,1.273,1.258,0.589,1.056,1.241,0.843,1.726,0.72,1.474,0.1,13.164
MEDIO,1749.16721311475,6.86032786885246,0.119672131147541,6.17180327868853,21.4098360655738,21685.2459016393,0.003540983606557,26.6491803278689,15.7403278688525,46.8229508196721,66.1639344262295,-1,-1,0.131,-1,-1,0.321,0.259,-1,,0.438,0.588,-1,-1,0.267,0.8133,0.6923,2.2278,-1,-1,-1,-1,-1,-1,-1,-1,0.07,-1,0.789,1.677,8.179,0.511,0.993,2.555,24.413,33.662,6.989,10.294,12.678,10.385,9.297,8.749,8.232,1.695,141.098
ALTO,1420.96551724138,6.61097178683386,0.150470219435737,6.42758620689655,21.8808777429467,13564.263322884,0.006457680250784,30.3197492163009,15.7366771159875,35.2771159874608,66.6457680250784,31.4410327471318,0.249,0.151,-1,-1,0.285,0.247,-1,,0.46,0.549,-1,-1,0.234,0.6984,0.6051,2.0089,0.0413,-1,-1,-1,-1,0.02,-1,-1,0.1,25000,0.847,4.345,10.428,1.345,1.409,4.533,35.453,40.763,10.024,13.812,16.562,16.761,14.209,12.664,11.481,2.433,197.069
BASSO,3412.67973856209,9.57843137254902,0.066993464052288,8.10130718954248,2.51633986928105,13496.7320261438,0.059934640522876,21.5032679738562,6.7859477124183,24.7843137254902,22.9738562091503,1.03377702766652,0.05,0.317,0.05,0.05,0.181,0.223,0.05,0.05,0.359,0.423,0.05,0.05,0.05,0.4104,0.3724,1.1352,0,0,0,0,0,0,0,0,0,12000,5.251,1.289,9.809,8.491,0.361,14.361,16.453,15.862,5.661,7.853,9.169,6.774,7.329,9.349,9.021,2.107,129.14
ASSENTE,1734.38953488372,10.896511627907,0.03546511627907,4.45639534883721,1.48255813953488,6406.97674418605,0.038837209302326,7.44186046511628,2.21075581395349,19.1078488372093,1.77325581395349,1.92938882601201,0.13,0.156,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0488,0,0,0,0,0,0,0,0,0,0,0.633,0.1,2.437,0.1,0.1,1.006,0.468,0.555,0.1,0.3,0.308,0.1,0.219,0.212,0.251,0.1,6.989
ASSENTE,1505.05586592179,9.34972067039106,0.035474860335196,4.04748603351955,8.71508379888268,5902.23463687151,0.034916201117318,5.6145251396648,2.11173184357542,16.7745810055866,7.72346368715084,1.27934259383606,0.05,0.115,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0476,0,0,0,0,0,0,0,0,0,7700,0.278,0.1,1.69,0.1,0.1,0.65,0.237,0.352,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.307
BASSO,568.314754098361,7.76295081967213,0.056065573770492,2.11147540983607,3.44262295081967,10219.6721311475,-1,12.0655737704918,10.4786885245902,30.4147540983607,27.4754098360656,7.35503375589099,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,0.0255,0.1305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.379,0.718,4.735,0.372,0.813,1.845,4.811,6.04,1.652,2.54,3.004,2.283,2.404,1.937,1.825,0.365,35.723
ALTO,2786.89783281734,8.24767801857585,0.098761609907121,6.83839009287926,21.733746130031,19795.6656346749,0.003962848297214,20.656346749226,15.3015479876161,45.5452012383901,62.9102167182663,10.7800210374574,0.32,0.188,-1,-1,0.321,0.295,-1,,0.505,0.615,-1,-1,0.298,0.9913,0.6833,2.6556,0.0233,-1,-1,-1,-1,-1,-1,-1,0.12,-1,0.099,5.999,15.157,2.434,1.5,4.656,52.832,68.837,17.161,22.121,31.778,29.735,27.72,21.354,16.255,4.13,321.768
BASSO,7932.8328611898,9.33456090651558,0.048441926345609,10.5722379603399,1.86968838526912,13186.9688385269,0.045439093484419,15.5807365439094,5.08328611898017,44.0192634560907,25.2691218130312,4.16030878529544,0.05,0.05,0.05,0.05,0.136,0.196,0.05,0.05,0.319,0.414,0.05,0.05,0.273,0.3285,0.6576,1.6021,0,0,0,0,0,0,0,0,0,8000,0.721,1.105,15.25,0.278,0.397,2.468,29.402,61.3,3.955,6.578,8.837,7.177,5.91,8.608,20.666,1.189,173.841
ASSENTE,2224.83679525223,11.0181008902077,0.040949554896142,4.81899109792285,1.78041543026706,6818.99109792285,0.037329376854599,7.00296735905044,2.64955489614243,20.6741839762611,1.48367952522255,1.43986395512129,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.3946,0.6375,0,0,0,0,0,0,0,0,0,0,0.714,0.282,4.815,0.1,0.364,0.572,3.38,4.814,0.365,0.871,0.839,0.497,0.856,0.556,1.912,0.1,21.037
TRASCURABILE,1569.14893617021,12.3130699088146,0.037993920972644,4.01823708206687,1.58054711246201,5878.41945288754,0.040121580547113,6.13981762917933,1.96200607902736,17.0863221884498,7.94224924012158,1.20614991350426,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.103,0.164,0.05,0.05,0.175,0,0.4875,0.5269,0,0,0,0,0,0,0,0,0,0,0.554,0.1,3.989,0.212,2.551,1.921,2.725,6.343,0.306,0.898,0.783,0.429,0.81,0.624,2.442,0.1,24.787
ASSENTE,2072.74336283186,8.8716814159292,0.038938053097345,4.12684365781711,12.1238938053097,5604.7197640118,0.037522123893805,5.95870206489675,1.90825958702065,14.9982300884956,7.19469026548673,1.52596559582937,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.107,0.05,0.05,0.162,0,0.6918,0.6815,0,0,0,0,0,0,0,0,0,6700,1.07,0.311,4.92,0.38,0.515,0.621,4.227,9.74,0.426,1.061,1.002,0.788,1.28,0.886,3.807,0.1,31.134
ASSENTE,1212.47838616715,8.66945244956772,0.038616714697406,4.01729106628242,12.3919308357349,5792.50720461095,0.036253602305476,7.63688760806917,2.25648414985591,15.9095100864553,0.605187319884726,2.03844456653949,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.145,0.0304,0.6897,0.8405,0,0,0,0,0,0,0,0,0,10500,2.3,0.1,5,0.2,1.2,0.3,2.2,15.666,0.6,1.4,1.3,0.8,2.1,1.342,2.3,0.1,36.908
ASSENTE,9248.6943620178,5.70089020771513,0.077448071216617,10.919881305638,6.14243323442136,16818.9910979229,0.052640949554896,25.1632047477745,5.54391691394659,37.4765578635015,37.5370919881306,0.885966987744117,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.107,0.05,0.05,0.1125,0,0.44105,0.5822,0,0,0,0,0,0,0,0,0,5700,0.634,0.191,4.402,0.156,1.4575,1.2465,3.0525,5.5785,0.3355,0.8845,0.811,0.463,0.833,0.59,2.177,0.1,22.912
