L1,Al,As,Cd,Cr,Cu,Fe,Hg,Ni,Pb,V,Zn,TBT,PCB28,PCB52,PCB77,PCB81,PCB101,PCB118,PCB126,PCB128,PCB138,PCB153,PCB156,PCB169,PCB180,Somma DDD,Somma DDE,Somma DDT,Clordano,Aldrin,Dieldrin,Endrin,aHCH,bHCH,gHCH Lindano,Eptacloro epossido,HCB,Idrocarburi C 12,Naftalene,Antracene,Fenantrene,Acenaftilene,Acenaftene,Fluorene,Fluorantene,Pirene,Benzo antracene,Crisene,Benzo fluorantene,Benzo pirene,Benzo fluorantene,Indeno pirene,Benzo perilene,Dibenzo antracene,Somma_IPA_16
ASSENTE,1198.77906976744,8.69767441860465,0.045058139534884,2.72383720930233,2.87790697674419,6258.72093023256,0.036104651162791,7.90697674418605,1.54360465116279,14.5311046511628,8.54651162790698,1.02,0.201,0.111,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,2.269,0.1,3.843,0.1,0.681,8.139,0.74,0.779,0.26,0.429,0.357,0.272,0.25,0.227,0.254,0.1,18.8
ASSENTE,1159.46587537092,6.92818991097923,0.048071216617211,2.77448071216617,3.08605341246291,10454.0059347181,0.038100890207715,7.62611275964392,1.76498516320475,13.1504451038576,8.21958456973294,1.42,0.05,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0222,0.0227,0.0673,0,0,0,0,0,0,0,0,0,0,5.608,0.1,1.375,0.1,1.083,4.438,0.201,0.38,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14.085
ASSENTE,2199.16426512968,6.66512968299712,0.047838616714697,4.71181556195965,3.45821325648415,6244.95677233429,0.033487031700288,8.32853025936599,1.84870317002882,20.3279538904899,9.07780979827089,0.79,0.05,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0928,0,0,0,0,0,0,0,0,0,0,9.653,0.1,2.7,1.66,1.435,1.087,0.313,0.625,0.1,0.222,0.21,0.1,0.1,0.1,0.1,0.1,18.605
MEDIO,1354.40729483283,6.35471124620061,0.096960486322188,5.23525835866261,15.2887537993921,19352.5835866261,-1,24.7781155015198,9.73860182370821,25.7650455927052,50.4863221884498,8.13459869250302,-1,0.217,-1,-1,0.313,0.279,-1,,0.422,0.542,-1,-1,0.216,0.8986,0.5587,0.9084,0.0243,-1,-1,-1,-1,-1,-1,-1,0.03,15000,1.4,8.44,18.559,1.953,2.184,5.875,40.749,42.786,20.74,25.938,35.733,26.328,25.978,42.671,27.878,8.493,335.705
ALTO,2007.675,7.044375,0.1015625,5.13,18.25,19715.625,0.0044375,18.95,15.0625,36.654375,63.4375,29.7872923535646,0.189,0.155,-1,-1,0.174,0.301,-1,,0.384,0.468,-1,-1,0.3,0.4674,0.3461,1.3601,-1,-1,-1,-1,-1,-1,-1,-1,0.06,12000,0.326,5.088,13.429,2.307,1.421,5.403,47.821,50.949,14.15,17.233,23.04,21.235,20.571,28.225,20.372,5.312,276.882
BASSO,2983.69186046512,10.1369186046512,0.048837209302326,4.29651162790698,5.05813953488372,7255.81395348837,0.040988372093023,10.6104651162791,2.82005813953488,18.3686046511628,13.2558139534884,1.98398579399943,0.05,0.149,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1022,0.0527,0.1515,0,0,0,0,0,0,0,0,0,0,0.234,1.4,44.598,0.1,2.632,39.3,5.268,19.364,2.606,11.759,3.429,3.607,3.613,3.859,3.449,0.78,145.998
ASSENTE,1024.50980392157,10.693137254902,0.036928104575163,3.66993464052288,4.08496732026144,5830.06535947713,0.045686274509804,7.97385620915033,1.82156862745098,14.8160130718954,5.88235294117647,1.22589572852871,0.157,0.132,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.117,0.05,0.05,0.05,0,0.0221,0.0673,0,0,0,0,0,0,0,0,0,0,3.251,0.1,4.433,0.596,3.633,17.096,0.544,0.535,0.1,0.379,0.472,0.1,0.371,0.228,0.258,0.1,32.196
ASSENTE,1091.0941475827,9.44961832061069,0.044020356234097,3.02035623409669,3.74045801526718,6129.77099236641,0.033384223918575,4.07124681933842,2.29516539440204,16.3765903307888,8.9058524173028,0.557976897031214,0.144,0.113,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0308,0,0.0696,0,0,0,0,0,0,0,0,0,0,6.97,0.1,5.458,0.276,3,5.298,0.329,0.349,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,22.58
ASSENTE,967.453416149069,7.62422360248447,0.045962732919255,8.28260869565217,3.29192546583851,5571.42857142857,0.037701863354037,7.73291925465839,2.06521739130435,13.6049689440994,7.63975155279503,0.650012222640576,0.128,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.102,0.05,0.05,0.158,0,0,0.0688,0,0,0,0,0,0,0,0,0,0,7.877,0.1,4.069,1.709,1.86,3.262,0.437,0.635,0.1,0.376,0.269,0.1,0.21,0.1,0.1,0.1,21.304
MOLTO ALTO,1005.81595092025,8.77944785276074,0.093558282208589,4.30429447852761,11.1963190184049,18260.736196319,0.000920245398773,21.840490797546,17.6834355828221,26.5153374233129,50.5828220858896,19.4291657053273,-1,0.18,-1,-1,0.231,0.208,-1,,0.247,0.346,-1,-1,0.079,2.1134,1.7316,6.2102,0.1217,-1,-1,-1,0.03,-1,0.06,-1,0.25,5000,0.248,19.108,32.197,15.574,2.388,10.865,127.008,125.003,44.434,45.68,61.217,57.261,59.609,47.937,37.386,10.101,696.016
